username,rating,date,id,consolidated_feedback,subjectivity,polarity,score
Project Manager,3,2022-07-08T00:00:00.000Z,66475176,Good  Good job with benefits easily  Bad pay not a good place,0.6166666666666667,0.08750000000000002,positive
"Production Worker in Oak Hills, CA",3,2022-07-08T00:00:00.000Z,66461499,Great Place to work  Benefits are available the very first day of employment.  Can be monotonous and boring. Advice to Management:An increase in pay rate would definitely decrease the high turnover.,0.6038888888888888,0.1141666666666667,positive
Sr BI Developer in Heredia,4,2022-07-08T00:00:00.000Z,66452780,"Mostly love it  Cool people, good work life balance, good management  Growth opportunities can be a bit limited, not very cutting edge, technical growth can slow down quickly",0.4574053724053724,0.2287118437118437,positive
Administrative Assistant,4,2022-07-07T00:00:00.000Z,66428904,Admin  Great work environment Great Benefits Managers are transparent  N/A Na na na na na na na na,0.75,0.8,positive
Anonymous Employee,5,2022-07-06T00:00:00.000Z,66392899,good  great company worth acquiring by China.  Nothing too much in my opinion,0.41250000000000003,0.5,positive
IT Guy,5,2022-07-06T00:00:00.000Z,66381079,awesome  very nice with great schedule  the food and care of the company,0.9166666666666666,0.86,positive
Internship,5,2022-07-05T00:00:00.000Z,66340392,Great Internship Opportunity  Good pay for an internship and a great way to break into the medical sales industry!  You may have to relocate for a permanent position afterwards,0.525,0.575,positive
"Production Operator in Aberdeen, SD",3,2022-07-05T00:00:00.000Z,66329561,"Easy work, great co-workers  Coworkers are helpful and friendly Work is easy and stimulating Compensation is fair  Extremely poor work - life balance. Constant mandatory 12 hours shifts during the week, as well as having to work nearly every weekend. Management doesnt care about floor employees, quick to pass blame onto them when mistakes are made.",0.6277777777777778,0.3083333333333334,positive
"Architect in Saint Paul, MN",4,2022-07-05T00:00:00.000Z,66328185,Generally a good employer  Reasonably good benefits and compensation  Compensation is slipping among peers. Hard for experienced workers to advance. Advice to Management:Listen to employees needs.,0.5483333333333333,0.36166666666666664,positive
"Customer Account Manager in Maplewood, MN",3,2022-07-05T00:00:00.000Z,66324959,"Amazing people, bad conglomerate  The people are amazing. My coworkers are some of the best people I know.  3M will cut corners constantly. Always looking to outsource to other counties to pay less. No job is secure. Advice to Management:Look to keep business within America for American accounts. Do not outsource to other countries for cheaper labor therefore creating more chaos and uncertainty for those within the U.S. Many employees do not feel they have job security because we are constantly watching our peers be cut out for cheaper labor. Not the same company it used to be.",0.42678571428571427,0.17738095238095242,positive
"Technical Lead in Saint Paul, MN",3,2022-07-04T00:00:00.000Z,66290370,Technology  A lot of technology to learn  Need to know what technology to focus,0.0,0.0,neutral
Customer Service Representative in Johannesburg,3,2022-07-04T00:00:00.000Z,66277610,Diversity  So much to learn from people in different countries.  There is too much red tape.,0.26666666666666666,0.06666666666666667,positive
"Marketing Manager in Shanghai, Shanghai",4,2022-07-02T00:00:00.000Z,66217204,"3M marketing manager  diversified working environment and good culture  differ from project to project, and different divisions",0.6000000000000001,0.35,positive
Senior Analyst- Accounts Payable,4,2022-07-01T00:00:00.000Z,66190254,Great Place to work  Competitive Salary Package Employee Engagement  Working Environment (depends on Dept),0.75,0.8,positive
Anonymous Employee,5,2022-06-30T00:00:00.000Z,66167726,Great company  Flexibility Good salaries Growth culture  Not to much positions in CyberSec,0.5166666666666667,0.5666666666666667,positive
"Senior Software Engineer in Murray, UT",3,2022-06-30T00:00:00.000Z,66155675,"lack of creative work  stable employment, not much to worried about in term of layoff  lack of creative work, everything just follow documented steps",0.7333333333333334,0.3,positive
Manufacturing Technician,3,2022-06-28T00:00:00.000Z,66075172,"Ok  Good pay and benefits all the overtime you could ever want.  There is no work life balance. This is a good place if you have no family, friends or life.",0.5666666666666668,0.6333333333333333,positive
"Manufacturing Engineer Specialist in Saint Paul, MN",5,2022-06-28T00:00:00.000Z,66051879,"Best place to work if your a technology nerd  Work with technology that is new to the world and improve manufacturing processes. The best part of my position is the ability to propose a solution, present it to management, and run with the idea. Easy to change jobs and try new things.  Sometimes frequent travel gets old. Feast or famine depending what projects you have.",0.3553030303030303,0.3632575757575757,positive
Sales Productivity Representative,2,2022-06-27T00:00:00.000Z,66027854,"Not even sure what to say  Decent vacation, yearly raises, 3M Club  Vacation could be better, two weeks to start is not great. Yearly raises are alright....5% with 2% being a variable bonus is not great though; especially with inflation at 12% Advice to Management:Work with employees to help them succeed. I've been with the company for almost 7 years and have been in the same role after trying REALLY hard to move up. It seems like managers aren't even given the tools to help their teams succeed",0.6527777777777778,0.009374999999999974,positive
"Software Engineer in Saint Paul, MN",4,2022-06-27T00:00:00.000Z,66024806,Entry level  work life balance nice coworkers  salary could be more competetive,0.75,0.55,positive
Senior Application Engineer,4,2022-06-27T00:00:00.000Z,66016385,"3M in KZ  Good work &amp; life balance, great environment  Hard to make career advance within the coutry",0.6305555555555555,0.40277777777777773,positive
Pricing Specialist,3,2022-06-27T00:00:00.000Z,66007124,"Working at 3M  Ethik and compliance Good pay, benefits  Very little opportunities for non business people to advance in Career",0.625,0.22812499999999997,positive
"Warehouse Worker in Dublin, Dublin",2,2022-06-27T00:00:00.000Z,66007077,good to work  great benifits good people to worl  bad atmosphere no moral no organisation no room in warehouse,0.5733333333333334,0.3000000000000001,positive
Production Planner,3,2022-06-26T00:00:00.000Z,65998726,Review  Lots of career opportunity within supply chain  Difficult to navigate opportunity starting out,0.55,-0.25,negative
IT Project Manager,4,2022-06-24T00:00:00.000Z,65955082,Average Employee Outlook  The management encourages staff to be their best  Lots of overtime opportunities for employees Advice to Management:Try to improve staff salaries,0.35,0.425,positive
Anonymous Employee,5,2022-06-24T00:00:00.000Z,65941354,good  good everything to be honest  no downsides to report at all,0.7000000000000001,0.6666666666666666,positive
Senor Software Engineer in Bangalore,1,2022-06-24T00:00:00.000Z,65939148,etl tester  there is no best to say in 3m  there is no growth in 3m to join,0.3,-0.5,negative
Sales Associate,5,2022-06-24T00:00:00.000Z,65931611,Great experience in 3M  Dynamic environment. Nice colleagues. Good products.  Unclear career path. Too much paper work.,0.5433333333333333,0.45999999999999996,positive
Administrative Assistant,2,2022-06-23T00:00:00.000Z,65904853,"Administrative Assistant  Pay was decent for job  Supervisor was absolutely neurotic and aggressive. Wasnt available for any training. First day handed me a list of job responsibilities, and sent me on my way. Set up for failure. Advice to Management:Consider hiring better management personalities that care for their staff with communication and better direction. No adult needs their hand held, but onboarding with opportunities for training, and clear direction would keep new employees engaged and commuted to their job hired for.",0.47378787878787876,0.18863636363636363,positive
Instructional Technology Trainer,2,2022-06-22T00:00:00.000Z,65863841,"WAS the place to work  70 degrees and sunny everyday, and a paycheck.  Company is severely WOKE, benefits have declined, poor cost of living increases.",0.6,-0.30000000000000004,negative
Machine Operator,3,2022-06-21T00:00:00.000Z,65834398,"only offer 12 hr shift  pay is good, opportunity for advancement  management is very absent from actual factory floor events, no option but to work 12 hr shift Advice to Management:better treatment of workers from management,",0.5,0.22499999999999998,positive
"Territory Manager in Tulsa, OK",4,2022-06-21T00:00:00.000Z,65823038,Great Company To Work For  Allows you to be independent.  Lower commission than industry standards.,0.4375,0.4,positive
"Senior Manager in Saint Paul, MN",3,2022-06-20T00:00:00.000Z,65761154,"Okay  Good people, decent leaders, ethical culture  No career development or coaching. Opportunities for lateral roles and advancement are extremely limited. Advice to Management:Put your people first",0.47380952380952385,0.2908730158730159,positive
"Product Manager in Boston, MA",4,2022-06-20T00:00:00.000Z,65759275,"Great company  Flexibility, Nice and helpful coworkers, Autonomy  A lot of processes to navigate",0.875,0.7,positive
"Senior Lead Data Analyst in San Jose, San Jose",4,2022-06-19T00:00:00.000Z,65735317,"Good place to work  Great work life environment Awesome culture Best manager I ever have Good work activity Work from home  Salary not so good. No dental plan, insurance not so good",0.6357142857142858,0.8,positive
Sales Associate,4,2022-06-19T00:00:00.000Z,65719489,Great  Has great perks and hours  There isnt a lot of paid time off Advice to Management:Very good,0.7000000000000001,0.7666666666666666,positive
Anonymous Employee,5,2022-06-17T00:00:00.000Z,65686951,"Good Company  Career development, safe workplace, good company culture  Location can be a challenge",0.5666666666666668,0.6333333333333333,positive
"Anonymous Employee in Saint Paul, MN",4,2022-06-16T00:00:00.000Z,65636310,Overall great company to work for  Good benefits and a good retirement plan  Parking at headquarters is not ideal,0.5900000000000001,0.35000000000000003,positive
"Marketing Coordinator in London, ON",3,2022-06-16T00:00:00.000Z,65620654,"Great work conditions, tedious work  Remote work, flexible, self-directed work with no micromanaging, good pay  You are expected to figure out complex systems on your own without any formal training or mentorship. Managers are often so removed from the work that they cannot help you. The company has merged Canada and the US into one company but cannot reconcile the fact that they are two different countries, this leads to very tedious duplication of work and management of processes that exist for the sake of having a process. The company claims to be all about innovation but their digital strategy is from the dark ages. There is no room for improvement, only tedious management of outdated processes. It takes 3 people to upload a single file into the asset management system. The company hires contract workers only to perform the tedious work the full timers don't want to bother with. Advice to Management:Stop hiring contract workers to do tedious work and instead examine the bloated processes.",0.6709273182957393,-0.06954887218045114,negative
"Anonymous Employee in Milton, ON",5,2022-06-15T00:00:00.000Z,65598250,"Best work ever  Awesome environment, great place to work  Nothing to say about it",0.6833333333333332,0.9333333333333332,positive
"Manufacturing Engineer in Saint Paul, MN",4,2022-06-15T00:00:00.000Z,65590886,"Great Company and Great Benefits  Good culture, Competitive pay, Great benefits  At times, too bureaucratic and too slow Advice to Management:Reward high performers more",0.6128571428571429,0.4942857142857143,positive
Cyber Security Manager,3,2022-06-15T00:00:00.000Z,65567723,"No Review  Likes to talk about plans  Has trouble executing plans, word",0.2,-0.2,negative
"Production Worker in Aberdeen, SD",5,2022-06-14T00:00:00.000Z,65548771,"3m  Good benefits, growth, good culture.  No downside when working there",0.6000000000000001,0.7,positive
"Pricing Analyst in Maplewood, MN",3,2022-06-14T00:00:00.000Z,65533763,"Nice Entry Level Position  -Everything is remote and very independent work schedule.  -Pay is not very good, they like to use contract workers to keep salients low it seems like. They say there's a possibility to be hired on full time once your contract is up, but that I have yet to see anyone hired full time and I am coming to the end of my contract. Hence, why I am on Glassdoor looking for a new job. Advice to Management:The lack of communication within the teams/ organization can be frustrating. Be ready to figure a lot on your own as the on boarding training is now existent, as you just watch someone else work for a couple of days and then you're on your own.",0.589881993006993,0.17226107226107226,positive
BDM Manager in Bangalore,5,2022-06-14T00:00:00.000Z,65524828,"BDM Manager  A good place to work International exposure  Rigid policies, Imported products, Expensive products Advice to Management:Local manufacturing",0.43333333333333335,0.06666666666666665,positive
Pricing Analyst,4,2022-06-14T00:00:00.000Z,65512448,"Great, large company to work for.  Flexibility, transparency, large company benefits.  Communication, processes, timing can be delayed due to size. Advice to Management:Improving automation, workflows, communication would be best.",0.4564285714285714,0.4207142857142857,positive
"Inside Sales Representative in San Jose, San Jose",4,2022-06-13T00:00:00.000Z,65463617,Great company  It takes care of its employees very responsible company very ethical.  the compensation plan is not always the best.,0.63625,0.5800000000000001,positive
Machine Operator,3,2022-06-11T00:00:00.000Z,65402955,Ergonomic  It is an easy job.  Give too much pressure on production. Wages do not increase compare to cost of living.,0.5166666666666667,0.31666666666666665,positive
O2 Engineer,4,2022-06-10T00:00:00.000Z,65360219,Overall good  Overall good. Learned how to handle things at a time.  It would have been good to have a proper mentor. Advice to Management:See things from a new engineers perspective.,0.3363636363636364,0.3194805194805194,positive
Field Sales Representative,5,2022-06-09T00:00:00.000Z,65339804,"3M  Stability, good pay, hire to retire philosophy  Large and slow to act.",0.4761904761904762,0.20476190476190473,positive
"Executive Director in Minneapolis, MN",5,2022-06-08T00:00:00.000Z,65288354,"Outstanding!  Remote opportunities, ability for growth, quality people, salary, benefits. A great organization! Definitely recommend!  For profit must meet P&amp;L. Advice to Management:Great organization! Blessed to serve.",0.58125,0.38125,positive
Senior Engineer,5,2022-06-08T00:00:00.000Z,65286597,"Great Company  3M Promotes employee growth initiatives  So many projects, so little time.",0.5833333333333334,0.37083333333333335,positive
"Associate Director in Saint Paul, MN",2,2022-06-08T00:00:00.000Z,65262407,Matrix &amp; complicated  Secure Reliable Minnesota Nice Good pension Good benefits  Very Matrix Long term employees that stifle innovation No sense of urgency So many layers Advice to Management:Simplify and get rid of advance 3M its ruined the business,0.6250000000000001,0.31875000000000003,positive
Senior Manager,5,2022-06-07T00:00:00.000Z,65237710,ok  good efficient well paid not demanding  boring harsh nothing to do good career path,0.6799999999999999,0.13999999999999999,positive
Anonymous Employee,3,2022-06-07T00:00:00.000Z,65234198,"Good and bad  Easy work and OT is plentiful.  For such a huge company, it still runs off the good ol boy system. Advice to Management:Simply put the most qualified people in position to succeed. Instead of promoting youre friends.",0.6571428571428571,0.29047619047619044,positive
Key Account Manager,4,2022-06-07T00:00:00.000Z,65201362,"not satisfied with salary increase  multinational, good bonus available, high brand  low base salary, slow and too complicated internal processes",0.5822222222222222,-0.06555555555555556,negative
Anonymous Employee,3,2022-06-07T00:00:00.000Z,65186420,great  had a good experience there  didn't have many bad experiences,0.6291666666666667,0.32500000000000007,positive
Indepent Contractor,4,2022-06-06T00:00:00.000Z,65173287,consultor  benefits Salary workplace initiatives constancy  management hiring process organizational chart,0.0,0.0,neutral
"Technical Supervisor in Minneapolis, MN",3,2022-06-06T00:00:00.000Z,65172905,"Good company, good technology, many struggles  Variety of technology, plenty of smart people, decent pay, flexible work schedule  Lots of meetings, challenges in the future of R&amp;D, poor incentive structure for new employees Advice to Management:There's a lot of promoting people for the wrong reasons. Everyone ends up being so busy and over-scheduled that creativity is squashed and management doesn't really know what's going on. A lot of the current problems stem from a willingness of management to shift resources away from growth projects to immediate needs, while also lamenting the lack of a robust technology pipeline.",0.4990891053391054,0.15144300144300143,positive
Lab Technician,4,2022-06-06T00:00:00.000Z,65157662,"Good work until my job got cut  Safe work environment, nice coworkers, fair pay and benefits  Contractors don't get as many benefits as direct employees. Got laid off on short notice Advice to Management:Treat contractors more fairly",0.6222222222222222,0.47777777777777775,positive
Lead Health Economist,5,2022-06-06T00:00:00.000Z,65156411,People are friendly and knowledgeable  Stable and good work life balance  Project could move fast and slow out of control,0.525,0.24374999999999997,positive
"Office Assistant in Bath, England",5,2022-06-06T00:00:00.000Z,65151764,Great place  Good job to work for  Nothing that I can think of Advice to Management:Great place,0.675,0.75,positive
"Sales Manager in Mumba, Central",5,2022-06-06T00:00:00.000Z,65151488,superb  best working culture friendly bosses no pressure at my level  no monetary increment not on company payroll,0.6,0.7916666666666666,positive
Head of L&D,3,2022-06-05T00:00:00.000Z,65105692,Ok  Good place to work. Flexible hours  Not sure. It may be different by business,0.6472222222222223,0.2375,positive
"Anonymous Employee in New York, NY",2,2022-06-04T00:00:00.000Z,65090263,"3M contract  Salary is reasonable and good with medical benefit.  Colleagues can be unhelpful, leaving you to figure things out yourself. No career progression. System that they use is old. Advice to Management:Career progression and guidelines to help fellow colleagues.",0.35000000000000003,0.24999999999999997,positive
Lead Consultant,5,2022-06-03T00:00:00.000Z,65068653,Great company  Great support and awesome environment  It can be hard to get clear direction in a large company but 3M tries to be open in communication.,0.5941964285714285,0.315327380952381,positive
"Instructional Designer in Saint Paul, MN",2,2022-06-02T00:00:00.000Z,65035064,"ID aka Technical Analyst III  Remote work and company issued laptop.  Micromanaging, busy work, and incompetent manager.",0.2416666666666667,-0.0875,negative
Strategy Manager,5,2022-06-02T00:00:00.000Z,65023097,Great place to work  The work your way policy  I have been enjoying great working environment,0.7000000000000001,0.7000000000000001,positive
Senior Marketing Manager,5,2022-06-02T00:00:00.000Z,65007121,3M company  great company to work for  can be subject to employee layoff,0.5416666666666666,0.3166666666666667,positive
"IT Analyst in Minneapolis, MN",3,2022-06-02T00:00:00.000Z,65006572,"Great people, bad management  Awesome people, really made a lot of connections outside of my day to day  Didnt really feel that invested in, lots of turn over",0.4777777777777778,0.25,positive
Anonymous Employee,3,2022-06-02T00:00:00.000Z,65001118,"Constant changes...  For the most part, the people are great to work with  Lots of red tape for making decisions, company is not keeping up with competitive salary particularly given today's levels of inflation",0.3833333333333333,0.29333333333333333,positive
Senior Account Executive,3,2022-06-01T00:00:00.000Z,64984373,"Average  Good vacation and health benefits  Poor upper management, the company has lost site of actual leadership. The company is too internally focused. Advice to Management:Dont just listen to people, hear them.",0.2833333333333334,0.024999999999999984,positive
"Anonymous Employee in Maplewood, MN",5,2022-06-01T00:00:00.000Z,64983977,"Great culture  Very supportive team and great mentorship  Salaries semi competitive, large company",0.7321428571428571,0.6160714285714286,positive
Customer Service Representative,1,2022-06-01T00:00:00.000Z,64966410,"Bad organization in CR  Good salary, great packages, trasportation included  Bad management, nobody understand the business, really bad metrics unable to achieve, they follow instructions withouth thinking",0.6416666666666666,-0.18333333333333326,negative
Senior Master Data Analyst,5,2022-06-01T00:00:00.000Z,64960320,"Material Master  Career growth, benefits Work life balance  I really don't see cons",0.2,0.2,positive
"Anonymous Employee in Minneapolis, MN",5,2022-06-01T00:00:00.000Z,64951663,"Good company to work for  Great people, good exposure and great culture  Slow progression across certain roles",0.611904761904762,0.48571428571428577,positive
"Technical Aide in Saint Paul, MN",4,2022-05-31T00:00:00.000Z,64897358,Overall a good experience  The staff is really easy to work with and good collaborators.  This position has a maximum hours per year,0.5083333333333334,0.4583333333333333,positive
"Marketing Intern in London, ON",4,2022-05-30T00:00:00.000Z,64856924,"Interning at 3M  Great meaningful, hands on experience for interns.  Navigating virtual internship was tedious at times (regarding timely communication).",0.75,0.26666666666666666,positive
"Account Representative in Toronto, ON",5,2022-05-30T00:00:00.000Z,64852829,"One of the Best Employers in North America  Culture, People, Benefits, Innovative Company, Room to Grow (with some ifs though)  Very slow to make decisions and move. Not very good to hire talents. Mostly hire internally however 3M needs to learn from outsiders too. Bringing new blood to the company might help to accelerate the growth. Advice to Management:Heavy body to move, really need to be agile. Not only talk about that, must take quick actions to be agile without affect the system performance. Adjust salaries with inflation!",0.5363403263403264,0.26128885003885005,positive
"Anonymous Employee in Saint Paul, MN",5,2022-05-30T00:00:00.000Z,64846688,3M IT  Work Culture and great teams  Salary is lower than market,0.75,0.8,positive
"Senior Inventory Analyst in Minneapolis, MN",5,2022-05-29T00:00:00.000Z,64836866,"Great place to work  Friendly atmosphere, great people, flex working time.  I think the biggest issue in 3M is that the tasks within the team is not shared equally.",0.5625,0.49375,positive
"Production Operator in Columbia, MO",2,2022-05-29T00:00:00.000Z,64833473,Not as good as you think  Sundays are double time 401k match is 8% dollar for dollar and the pay is ok.  Forced overtime is insane. People have had to work for more than two months straight and absolutely no days off. Attendance policy is harsh. Overnights suck. If you are a hard worker you are taken advantage of. Slow workers get away with doing nothing. Advice to Management:Figure it out.,0.521969696969697,-0.026515151515151533,negative
Senior Area Sales Manager,5,2022-05-28T00:00:00.000Z,64809514,"Sales and Marketing  Employee friendly and high compliance  Nothing too mention, overall good only",0.528,0.24699999999999997,positive
Salesmanager,5,2022-05-28T00:00:00.000Z,64801335,Great company  It was a pleasure to work there  Not enough safety gear available Advice to Management:Be kind,0.6375,0.45000000000000007,positive
Sales Operations Analyst in Petaling Jaya,4,2022-05-28T00:00:00.000Z,64793166,"Company Rate  Good team, nice salary, good senior  Hard to be permanent staff",0.6854166666666667,0.42708333333333326,positive
"Dispute Analyst in Minneapolis, MN",4,2022-05-27T00:00:00.000Z,64775775,Good Company  The office space is excellent  They don't put much individual focus on employees,0.6666666666666666,0.5666666666666667,positive
"Global Marketing Director in London, ON",4,2022-05-27T00:00:00.000Z,64775380,"Great Employer  So many different business groups to work in, you can cross industries and Specialties and never leave the company  Very Corporate, a bit old fashioned",0.34166666666666673,0.23333333333333336,positive
Warehouse Operator,3,2022-05-27T00:00:00.000Z,64773766,"Inconsistent  Decent pay for the area Great benefits for the area  Sometimes overtime is forced, sometimes it is disallowed Favoritism is rampant",0.5388888888888889,0.2222222222222222,positive
"Sales Representative in London, ON",5,2022-05-26T00:00:00.000Z,64725632,"Great place to work for  Too many to count. Great people, they care and want to help you do your best both personally and professionally. Lots of opportunities to develop yourself.  Sometimes slow due to its size. Vacation takes far too long to earn and achieve more time. Advice to Management:Update vacation policy, add personal days and ways to add more vacation days without waiting 10 years for more.",0.47678571428571426,0.3089285714285715,positive
Warehouse Associate,1,2022-05-26T00:00:00.000Z,64721534,"Horrible treatment  Great pay, decent benefits, some friendly co-workers.  Too much forced overtime, terrible work-life balance, lousy treatment of employees. Advice to Management:Understand that your employees are human beings and burnout is real, we are not machines",0.5574074074074074,-0.13981481481481484,negative
"Manufacturing Technician in Saint Paul, MN",4,2022-05-26T00:00:00.000Z,64698754,Work life balance?  Employees Benefits of the company is good  No work life balance in the company,0.6000000000000001,0.7,positive
"Production Operator in Greenville, SC",5,2022-05-26T00:00:00.000Z,64698145,"Good place to worl  Very competitive pay, good benefits  Long work hours with rotating shifts",0.4750000000000001,0.38749999999999996,positive
Sales Incentive Planning Analyst,4,2022-05-25T00:00:00.000Z,64679024,-  - Good salary - Fairly easy jobs  - No growth potential - Repetitive jobs,0.6708333333333334,0.22083333333333333,positive
"Marketing Specialist in Charlotte, NC",3,2022-05-25T00:00:00.000Z,64665331,"Positives and Negatives  Many resources to connect and learn from teammates. Decent insurance and other compensation, not great, not terrible. Plenty of opportunity to see technology updates with a safety net of IT support.  Just as jaded and snarky as any other workplace, including the management level. Communication is more than plentiful, just not always accurate or earnest. Feedback is kept to only positives, so you don't know you need improvement until it's way too late to fix your reputation. Advice to Management:Get out of the corporate bubble, and live in the real world. Many left and are leaving for much better pastures. This is easily fixed.",0.46666666666666656,0.14183501683501684,positive
"Legal Counsel in Moscow, Moskva",4,2022-05-24T00:00:00.000Z,64621467,"Review  Business culture, international experience and people  Instability on Russian market, sanctions",0.0,0.0,neutral
"Inside Sales Representative in Maplewood, MN",4,2022-05-24T00:00:00.000Z,64614021,Good company  Great benefits and work life balance  Limited mobility for promotions at times regardless of above target sales,0.39821428571428574,0.35714285714285715,positive
"Manufacturing Manager in Saint Paul, MN",4,2022-05-24T00:00:00.000Z,64599900,"Manufacturing Manager  Innovative Diverse Manufacturing Training and Enrichment Program Work/Life Balance Advancement  Pay,Indice On-boarding/staffing Employee Development needs improving Lagging in areas such certification renewals, internal processes and systems are out of date with the rest of the market Advice to Management:Enhance total compensation package, particularly benefits. If you can't hire fulltime on remote sites, hire temps to help with busy-work or mundane tasks.",0.42142857142857143,0.05714285714285715,positive
"Associate Territory Representative in Saint Paul, MN",4,2022-05-24T00:00:00.000Z,64585304,Great benefits and management  Great benefits and team plus management  Some disorganization with the Kci buy. Not much room to move up in your territory.,0.5666666666666667,0.5,positive
"Médico De Salud Ocupacional in Saint Paul, MN",5,2022-05-23T00:00:00.000Z,64559700,Health  Great place to work company  There is no one disadvantage about this company,0.75,0.8,positive
Graduate Apprentice Trainee (GAT) in Pune,5,2022-05-23T00:00:00.000Z,64539623,NA  good workplace to work good good  No such con observed good good Advice to Management:no such advice for anyone,0.5714285714285714,0.5,positive
Anonymous Employee in Singapore,5,2022-05-23T00:00:00.000Z,64531322,"Good boss  Encouraging and good boss. Flexible work arrangements  Contract role currently, lots of uncertainty",0.5333333333333333,0.4666666666666666,positive
"Software Development Engineer In Test (SDET) in Saint Paul, MN",3,2022-05-21T00:00:00.000Z,64494431,Sdet  One of the best places to work  One of the good places,0.45000000000000007,0.85,positive
"Anonymous Employee in New York, NY",1,2022-05-21T00:00:00.000Z,64492293,Not a bad company  Work your way introduced to staff  Fast paced environment. Be prepared,0.6333333333333333,0.27499999999999997,positive
"Anonymous Employee in Minneapolis, MN",3,2022-05-20T00:00:00.000Z,64436806,Benefits  Great benefits for all employees  did away with the pension,0.75,0.8,positive
Marketing Manager,5,2022-05-19T00:00:00.000Z,64421695,"Excellent Company For Career Developent  Genuinely puts ethics and doing business the right way at the heart of its culture. Fantastic opportunity to move between businesses and functions to support your career development. Failures are seen broadly as opportunities to learn and 3Mers try to support and help each other.  Bueracratic systems and processes, approvals required for most things can disempower people and slow things down. Getting things done often relies on a strong network. Quarter by quarter mentality can inhibit longer term growth outlook through very strong financial discipline.",0.5415641534391534,0.25536044973544975,positive
Internship,4,2022-05-19T00:00:00.000Z,64416414,good  great hours great cool creative people  pay is ok managers can be mean,0.7053571428571429,0.47678571428571426,positive
"Subject Matter Expert (SME) in London, England",4,2022-05-19T00:00:00.000Z,64383106,"Great company culture, lots of talent, global direction  Lots of great talent within sales and marketing functions Forward thinking organisational culture with ""work your way"" approach for all employees to formally choose a remote, office based or hybrid working style Clear focus on employee development with external training opportunities, clear job role progression and mentoring schemes  Moving away from a truly customer-centric organisation into a global infrastructure with large global messaging Centralised resource causing limitations to changing needs of individual businesses - creating long lead times and less agility",0.297069597069597,0.1305860805860806,positive
Senior Scrum Master,4,2022-05-17T00:00:00.000Z,64298439,"Sr Scrum Master  Great Culture, Good technology, Growth  There are no downside working in this company",0.675,0.75,positive
Portfolio Manager,4,2022-05-17T00:00:00.000Z,64295798,"3M is not innovative anymore  Overall, it's still a stable company even though it laid off thousands of employee in past few years.  The company becomes very conservative about the investment or R&amp;D. Focus on short-term profit and asking for budget control frequently.",0.325,-0.06666666666666665,negative
Analyst,2,2022-05-17T00:00:00.000Z,64292984,Mmm sucks  Good food but not work  Too many senior execs here Advice to Management:Please take care your your ees,0.46666666666666673,0.3,positive
O2 Engineer,3,2022-05-17T00:00:00.000Z,64277282,"Highly situational experience  Experience was very valuable, managers were generally good, company is well respected.  Each plant is essentially it's own company. Culture from company at-large has little to no bearing over day-to-day life in the plant. Company tries to improve and innovate, but is so large that it mostly stagnates. Advice to Management:Push continuous improvement more as a concept and less as a deliverable. It seems most engineers have difficulty seeing projects to completion unless they're for Green Belt certification, and then it seems that LSS engagement drops dramatically. Normalize the tools in everyday operations beyond tier systems, implement value-adding systems like Dozuki more broadly and audit their use.",0.4698492063492063,0.20550793650793647,positive
Credit Analyst,2,2022-05-17T00:00:00.000Z,64272640,"No Guidance. Revolving door  No micromanaging, but thats because they don't manage at all  Pay, leadership, opportunities to advance career",0.0,0.0,neutral
Anonymous Employee,5,2022-05-16T00:00:00.000Z,64183141,Very good  Best job ever to get  Um Im not sure nothing,0.6562962962962963,0.5533333333333333,positive
"Supply Chain Analyst in Saint Paul, MN",3,2022-05-15T00:00:00.000Z,64175206,"Lack of work life balance  Great benefits such as 401(k) matching, stock purchasing plan, and medical. More emphasis on work flexibility.  High disparity between corporate and plant employees. Less flexibility and accommodations. With incoming BT initiatives, there seems to be lack of support left and right, with very low morale. Advice to Management:More support for BT teams. Lessen pressure on hiring freezes.",0.3282380952380953,0.1579047619047619,positive
"Financial Analyst in Saint Paul, MN",2,2022-05-14T00:00:00.000Z,64147071,Was okay before management change  Great colleagues to work with.  Management change caused work environment to decline and unrealistic work load to heighten. Advice to Management:Listen to the workers who actually does the job instead of blindly requesting unrealistic work goals that contradict the job.,0.6694444444444444,-0.033333333333333326,negative
Registered Nurse,5,2022-05-14T00:00:00.000Z,64143935,Great workplace  Awesome place to work in  Benefits need improvement i think,0.875,0.9,positive
"Systems Integration Consultant in Boulder, CO",5,2022-05-13T00:00:00.000Z,64111077,work life balance  3M cares about it's employees and promotes work life balance.  very large organization with lots of layers with cumbersome processes,0.5571428571428572,0.2785714285714286,positive
Anonymous Employee,4,2022-05-13T00:00:00.000Z,64090211,Great flexible environment  Supportive management and very inclusive company  Pay is not as competitive as bigger multinational companies,0.6375,0.375,positive
Payment Specialist,4,2022-05-12T00:00:00.000Z,64045313,Great place to work  Great opportunity and the culture of the company is great  A lot of responsibilities and volume of work,0.75,0.8000000000000002,positive
EHS Specialist,4,2022-05-12T00:00:00.000Z,64038842,"Great Campus  As a contract worker, you get to learn so many things.  Yet sometimes the 3M contacts need to work on their people skills. Advice to Management:Increase managers to take trainings on how to manage people. Kill them with Kindness. Be kind. Sugar goes along way.",0.7166666666666667,0.6333333333333333,positive
